compensation_id,employee_id,effective_date,monthly_income,salary_band,percent_hike,bonus_amount,stock_option_level
1,1,1/1/2015,71206,Low,6.225143524,34592,3
2,1,1/1/2016,80086,High,12.47138997,16002,2
3,1,12/31/2016,90342,Low,12.80665318,24658,3
4,2,1/1/2015,44478,Low,12.14405188,44710,3
5,2,1/1/2016,47580,Medium,6.975640072,41189,2
6,2,12/31/2016,52667,Medium,10.69278927,32750,2
7,2,12/31/2017,59170,Medium,12.34802326,35400,0
8,3,1/1/2015,46279,Low,13.21649254,34580,1
9,3,1/1/2016,49062,Low,6.014264529,41217,0
10,3,12/31/2016,51644,Low,5.264675472,37108,0
11,3,12/31/2017,56309,High,9.033125109,14815,2
12,4,1/1/2015,69297,Medium,14.14627255,5885,3
13,4,1/1/2016,74512,Medium,7.526023412,49004,2
14,4,12/31/2016,84494,Medium,13.39741562,21682,0
15,4,12/31/2017,97067,High,14.88049429,6859,2
16,5,1/1/2015,38115,Low,7.652737941,13549,3
17,5,1/1/2016,41784,Low,9.628471623,19695,3
18,6,1/1/2015,23524,Low,10.82916558,17352,0
19,6,1/1/2016,27006,High,14.80349705,13704,0
20,7,1/1/2015,24631,Low,6.746040765,39189,3
21,7,1/1/2016,26701,Medium,8.40586143,19979,1
22,7,12/31/2016,29496,High,10.47014991,8973,0
23,7,12/31/2017,33895,Medium,14.91548443,41620,3
24,8,1/1/2015,35806,Low,7.368087368,37285,2
25,8,1/1/2016,37928,High,5.92875343,36938,1
26,8,12/31/2016,42657,High,12.46959771,5607,2
27,9,1/1/2015,23859,Medium,7.102955543,9826,0
28,9,1/1/2016,27322,High,14.51737704,48868,1
29,9,12/31/2016,28919,High,5.848510116,47479,3
30,9,12/31/2017,31381,Medium,8.516816483,23426,1
31,10,1/1/2015,38470,Low,6.314953271,5170,0
32,10,1/1/2016,41830,Low,8.735119305,9454,2
33,10,12/31/2016,44206,Low,5.680869079,25852,2
34,10,12/31/2017,49714,Medium,12.46159881,33233,0
