employee_id,employee_code,age,gender,marital_status,education_level,education_field,hire_date,employment_type,business_travel,distance_from_home_km,work_location,department_id,job_role,job_level,manager_id,status
1,EMP00001,57,Male,Single,1,HR,2012-06-17 19:57:46,Contract,Travel_Rarely,38,Remote,20,Software Engineer,2,1012.0,Active
2,EMP00002,27,Male,Married,1,Life Sciences,2011-12-10 20:35:32,Full-time,Non-Travel,15,Office,13,HR Manager,3,4167.0,Active
3,EMP00003,41,Male,Single,3,Life Sciences,2017-06-23 10:04:20,Full-time,Non-Travel,38,Remote,8,Software Engineer,1,2309.0,Active
4,EMP00004,29,Female,Divorced,4,HR,2020-01-23 10:56:55,Full-time,Travel_Frequently,26,Remote,12,Manager,3,4792.0,Active
5,EMP00005,59,Male,Married,4,HR,2011-09-30 09:15:27,Full-time,Non-Travel,30,Hybrid,9,Manager,4,,Active
6,EMP00006,38,Male,Single,1,Life Sciences,2010-05-20 11:29:59,Full-time,Non-Travel,11,Hybrid,17,Manager,2,1435.0,Active
7,EMP00007,24,Male,Single,3,Life Sciences,2022-12-11 09:06:51,Full-time,Travel_Frequently,29,Remote,14,Sales Executive,2,1440.0,Active
8,EMP00008,45,Female,Divorced,4,Medical,2016-05-27 07:53:02,Full-time,Non-Travel,15,Office,7,Manager,5,,Active
9,EMP00009,34,Female,Single,1,Medical,2014-06-23 18:05:35,Full-time,Travel_Rarely,44,Remote,4,Sales Executive,4,,Attrited
10,EMP00010,29,Male,Divorced,3,Medical,2017-12-31 12:37:52,Full-time,Travel_Frequently,9,Office,7,Data Analyst,2,4579.0,Active
11,EMP00011,46,Male,Married,2,Technical,2014-10-31 21:09:56,Contract,Travel_Rarely,42,Remote,17,Software Engineer,1,1462.0,Active
12,EMP00012,22,Female,Married,3,HR,2020-04-28 01:52:36,Full-time,Travel_Rarely,29,Office,17,HR Manager,1,162.0,Active
13,EMP00013,40,Male,Single,3,Marketing,2017-04-08 14:32:55,Full-time,Travel_Frequently,15,Hybrid,1,Sales Executive,1,639.0,Attrited
14,EMP00014,48,Male,Married,5,Technical,2013-06-15 10:22:16,Full-time,Non-Travel,17,Office,2,Sales Executive,3,1058.0,Active
15,EMP00015,27,Female,Married,5,HR,2018-09-18 09:21:54,Full-time,Travel_Frequently,16,Hybrid,18,HR Manager,2,1454.0,Active
16,EMP00016,28,Male,Single,2,Marketing,2012-03-15 13:03:36,Contract,Non-Travel,22,Office,9,Software Engineer,3,4827.0,Active
17,EMP00017,55,Male,Married,2,Medical,2020-05-28 01:15:38,Full-time,Travel_Rarely,40,Hybrid,5,Manager,2,2785.0,Active
18,EMP00018,34,Female,Single,3,Marketing,2020-04-12 01:11:03,Contract,Non-Travel,49,Office,1,Software Engineer,5,,Attrited
19,EMP00019,37,Female,Divorced,4,Life Sciences,2020-11-30 12:14:42,Full-time,Travel_Rarely,43,Remote,7,Sales Executive,3,4268.0,Active
20,EMP00020,56,Male,Divorced,2,Life Sciences,2021-09-21 05:05:53,Full-time,Travel_Rarely,11,Office,2,Manager,2,3236.0,Attrited
21,EMP00021,24,Female,Divorced,3,HR,2011-09-28 13:43:10,Full-time,Travel_Rarely,38,Hybrid,3,Data Analyst,5,,Active
22,EMP00022,22,Male,Single,1,Technical,2014-12-10 21:46:11,Full-time,Travel_Frequently,25,Hybrid,4,HR Manager,2,2098.0,Active
23,EMP00023,26,Male,Single,5,Medical,2015-09-06 03:36:46,Full-time,Non-Travel,30,Office,3,Software Engineer,4,,Active
24,EMP00024,24,Male,Married,4,HR,2013-02-20 17:01:32,Contract,Non-Travel,2,Remote,19,Manager,3,4426.0,Attrited
25,EMP00025,49,Female,Married,3,Medical,2010-08-18 23:35:23,Full-time,Non-Travel,1,Office,12,HR Manager,1,4390.0,Active
26,EMP00026,38,Female,Married,1,Life Sciences,2018-03-31 13:39:29,Contract,Travel_Rarely,38,Office,15,Software Engineer,5,,Active
27,EMP00027,46,Male,Married,5,Technical,2019-11-12 13:24:20,Full-time,Travel_Frequently,37,Hybrid,4,Sales Executive,5,,Attrited
28,EMP00028,54,Male,Married,1,Technical,2010-10-16 13:11:23,Full-time,Non-Travel,9,Remote,1,Sales Executive,1,4042.0,Active
29,EMP00029,30,Female,Single,3,Life Sciences,2018-08-15 01:02:31,Full-time,Non-Travel,5,Remote,16,Sales Executive,5,,Active
30,EMP00030,56,Female,Single,2,Marketing,2010-01-26 14:19:44,Full-time,Travel_Frequently,24,Remote,6,Data Analyst,1,4250.0,Attrited
31,EMP00031,34,Female,Divorced,5,Technical,2015-10-27 15:28:18,Contract,Non-Travel,27,Remote,17,Sales Executive,1,1755.0,Active
32,EMP00032,51,Male,Divorced,1,Marketing,2019-04-14 05:55:34,Full-time,Travel_Frequently,30,Office,5,Sales Executive,2,698.0,Attrited
33,EMP00033,35,Female,Divorced,2,Medical,2014-09-10 00:30:17,Full-time,Travel_Frequently,15,Remote,13,Sales Executive,3,3958.0,Active
34,EMP00034,28,Female,Divorced,4,Technical,2014-04-20 17:33:36,Full-time,Non-Travel,47,Remote,12,Manager,4,,Attrited
35,EMP00035,34,Male,Single,3,Life Sciences,2010-10-29 22:26:36,Contract,Travel_Frequently,9,Remote,1,HR Manager,5,,Active
36,EMP00036,43,Male,Single,3,Marketing,2021-08-07 00:22:22,Full-time,Travel_Frequently,46,Hybrid,12,Data Analyst,2,513.0,Active
37,EMP00037,41,Male,Single,5,Medical,2011-09-16 21:02:25,Full-time,Non-Travel,37,Hybrid,2,Software Engineer,4,,Active
38,EMP00038,36,Female,Married,1,Medical,2016-05-01 10:43:30,Full-time,Travel_Rarely,30,Hybrid,18,Data Analyst,4,,Active
39,EMP00039,38,Male,Married,4,Technical,2011-12-18 09:30:37,Full-time,Non-Travel,49,Remote,9,HR Manager,5,,Active
40,EMP00040,44,Male,Divorced,5,Technical,2012-09-13 00:30:39,Full-time,Non-Travel,15,Office,16,Sales Executive,5,,Active
41,EMP00041,46,Male,Married,5,HR,2015-04-04 05:10:21,Full-time,Travel_Rarely,20,Office,20,Sales Executive,2,2302.0,Active
42,EMP00042,45,Male,Single,1,HR,2021-08-31 04:36:17,Full-time,Travel_Frequently,49,Hybrid,15,Software Engineer,5,,Active
43,EMP00043,49,Female,Divorced,4,Technical,2022-12-25 01:23:07,Full-time,Non-Travel,25,Hybrid,10,Data Analyst,4,,Active
44,EMP00044,35,Male,Divorced,1,HR,2017-09-23 15:13:30,Contract,Travel_Rarely,9,Remote,2,Data Analyst,5,,Attrited
