job_history_id,employee_id,department_id,job_role,job_level,start_date,end_date,promotion_flag,job_change_reason
1,1,20,Software Engineer,2,2012-06-17 19:57:46,2013-06-30 19:57:46,False,Transfer
2,1,20,Software Engineer,2,2013-06-30 19:57:46,2015-09-01 19:57:46,True,Transfer
3,1,20,Software Engineer,2,2015-09-01 19:57:46,,True,Promotion
4,2,13,HR Manager,3,2011-12-10 20:35:32,2012-12-19 20:35:32,False,Promotion
5,2,13,HR Manager,3,2012-12-19 20:35:32,,True,Transfer
6,3,8,Software Engineer,1,2017-06-23 10:04:20,,False,Transfer
7,4,12,Manager,3,2020-01-23 10:56:55,,False,Role Change
8,5,9,Manager,4,2011-09-30 09:15:27,2013-03-31 09:15:27,False,Transfer
9,5,9,Manager,4,2013-03-31 09:15:27,,True,Role Change
10,6,17,Manager,2,2010-05-20 11:29:59,2012-07-11 11:29:59,False,Promotion
11,6,17,Manager,2,2012-07-11 11:29:59,,True,Promotion
12,7,14,Sales Executive,2,2022-12-11 09:06:51,,False,Role Change
13,8,7,Manager,5,2016-05-27 07:53:02,2017-08-22 07:53:02,False,Transfer
14,8,7,Manager,5,2017-08-22 07:53:02,2019-01-21 07:53:02,True,Transfer
15,8,7,Manager,5,2019-01-21 07:53:02,,True,Transfer
16,9,4,Sales Executive,4,2014-06-23 18:05:35,2016-07-02 18:05:35,False,Promotion
17,9,4,Sales Executive,4,2016-07-02 18:05:35,2018-11-24 18:05:35,True,Promotion
18,9,4,Sales Executive,4,2018-11-24 18:05:35,,True,Role Change
19,10,7,Data Analyst,2,2017-12-31 12:37:52,2020-06-01 12:37:52,False,Transfer
20,10,7,Data Analyst,2,2020-06-01 12:37:52,2021-08-25 12:37:52,True,Role Change
21,10,7,Data Analyst,2,2021-08-25 12:37:52,,True,Promotion
22,11,17,Software Engineer,1,2014-10-31 21:09:56,2016-05-18 21:09:56,False,Promotion
23,11,17,Software Engineer,1,2016-05-18 21:09:56,2018-09-28 21:09:56,True,Role Change
24,11,17,Software Engineer,1,2018-09-28 21:09:56,,True,Role Change
25,12,17,HR Manager,1,2020-04-28 01:52:36,2021-05-13 01:52:36,False,Transfer
26,12,17,HR Manager,1,2021-05-13 01:52:36,,True,Transfer
27,13,1,Sales Executive,1,2017-04-08 14:32:55,2018-01-23 14:32:55,False,Promotion
28,13,1,Sales Executive,1,2018-01-23 14:32:55,,True,Promotion
29,14,2,Sales Executive,3,2013-06-15 10:22:16,2015-06-26 10:22:16,False,Role Change
30,14,2,Sales Executive,3,2015-06-26 10:22:16,2016-08-04 10:22:16,True,Transfer
31,14,2,Sales Executive,3,2016-08-04 10:22:16,,True,Transfer
32,15,18,HR Manager,2,2018-09-18 09:21:54,2019-07-09 09:21:54,False,Promotion
33,15,18,HR Manager,2,2019-07-09 09:21:54,,True,Role Change
34,16,9,Software Engineer,3,2012-03-15 13:03:36,2014-01-30 13:03:36,False,Role Change
35,16,9,Software Engineer,3,2014-01-30 13:03:36,2016-02-03 13:03:36,True,Transfer
36,16,9,Software Engineer,3,2016-02-03 13:03:36,,True,Transfer
37,17,5,Manager,2,2020-05-28 01:15:38,,False,Role Change
38,18,1,Software Engineer,5,2020-04-12 01:11:03,,False,Transfer
39,19,7,Sales Executive,3,2020-11-30 12:14:42,,False,Transfer
40,20,2,Manager,2,2021-09-21 05:05:53,2023-05-05 05:05:53,False,Promotion
41,20,2,Manager,2,2023-05-05 05:05:53,2025-04-16 05:05:53,True,Role Change
42,20,2,Manager,2,2025-04-16 05:05:53,,True,Promotion
43,21,3,Data Analyst,5,2011-09-28 13:43:10,,False,Role Change
44,22,4,HR Manager,2,2014-12-10 21:46:11,2017-04-08 21:46:11,False,Transfer
45,22,4,HR Manager,2,2017-04-08 21:46:11,2018-08-31 21:46:11,True,Transfer
46,22,4,HR Manager,2,2018-08-31 21:46:11,,True,Promotion
47,23,3,Software Engineer,4,2015-09-06 03:36:46,2016-12-21 03:36:46,False,Transfer
48,23,3,Software Engineer,4,2016-12-21 03:36:46,,True,Role Change
49,24,19,Manager,3,2013-02-20 17:01:32,2014-06-03 17:01:32,False,Transfer
50,24,19,Manager,3,2014-06-03 17:01:32,2015-04-04 17:01:32,True,Role Change
51,24,19,Manager,3,2015-04-04 17:01:32,,True,Role Change
52,25,12,HR Manager,1,2010-08-18 23:35:23,,False,Promotion
53,26,15,Software Engineer,5,2018-03-31 13:39:29,2019-01-25 13:39:29,False,Role Change
54,26,15,Software Engineer,5,2019-01-25 13:39:29,2021-03-14 13:39:29,True,Role Change
55,26,15,Software Engineer,5,2021-03-14 13:39:29,,True,Transfer
56,27,4,Sales Executive,5,2019-11-12 13:24:20,,False,Promotion
57,28,1,Sales Executive,1,2010-10-16 13:11:23,,False,Promotion
58,29,16,Sales Executive,5,2018-08-15 01:02:31,2019-10-18 01:02:31,False,Transfer
59,29,16,Sales Executive,5,2019-10-18 01:02:31,2021-05-14 01:02:31,True,Transfer
60,29,16,Sales Executive,5,2021-05-14 01:02:31,,True,Transfer
61,30,6,Data Analyst,1,2010-01-26 14:19:44,2010-09-20 14:19:44,False,Role Change
62,30,6,Data Analyst,1,2010-09-20 14:19:44,2012-04-01 14:19:44,True,Transfer
63,30,6,Data Analyst,1,2012-04-01 14:19:44,,True,Role Change
64,31,17,Sales Executive,1,2015-10-27 15:28:18,,False,Promotion
65,32,5,Sales Executive,2,2019-04-14 05:55:34,2021-05-30 05:55:34,False,Promotion
66,32,5,Sales Executive,2,2021-05-30 05:55:34,,True,Transfer
67,33,13,Sales Executive,3,2014-09-10 00:30:17,2015-05-16 00:30:17,False,Transfer
68,33,13,Sales Executive,3,2015-05-16 00:30:17,,True,Transfer
69,34,12,Manager,4,2014-04-20 17:33:36,2015-01-06 17:33:36,False,Role Change
70,34,12,Manager,4,2015-01-06 17:33:36,,True,Role Change
71,35,1,HR Manager,5,2010-10-29 22:26:36,,False,Promotion
72,36,12,Data Analyst,2,2021-08-07 00:22:22,2022-04-20 00:22:22,False,Transfer
73,36,12,Data Analyst,2,2022-04-20 00:22:22,,True,Role Change
74,37,2,Software Engineer,4,2011-09-16 21:02:25,2012-10-12 21:02:25,False,Transfer
75,37,2,Software Engineer,4,2012-10-12 21:02:25,2014-09-16 21:02:25,True,Transfer
76,37,2,Software Engineer,4,2014-09-16 21:02:25,,True,Role Change
77,38,18,Data Analyst,4,2016-05-01 10:43:30,2018-06-25 10:43:30,False,Transfer
78,38,18,Data Analyst,4,2018-06-25 10:43:30,2019-07-04 10:43:30,True,Transfer
79,38,18,Data Analyst,4,2019-07-04 10:43:30,,True,Role Change
80,39,9,HR Manager,5,2011-12-18 09:30:37,2012-07-30 09:30:37,False,Promotion
81,39,9,HR Manager,5,2012-07-30 09:30:37,,True,Promotion
82,40,16,Sales Executive,5,2012-09-13 00:30:39,2013-12-29 00:30:39,False,Promotion
83,40,16,Sales Executive,5,2013-12-29 00:30:39,,True,Role Change
84,41,20,Sales Executive,2,2015-04-04 05:10:21,2017-08-26 05:10:21,False,Role Change
85,41,20,Sales Executive,2,2017-08-26 05:10:21,,True,Transfer
86,42,15,Software Engineer,5,2021-08-31 04:36:17,2023-03-20 04:36:17,False,Role Change
87,42,15,Software Engineer,5,2023-03-20 04:36:17,2025-07-06 04:36:17,True,Transfer
88,42,15,Software Engineer,5,2025-07-06 04:36:17,,True,Transfer
89,43,10,Data Analyst,4,2022-12-25 01:23:07,,False,Role Change
90,44,2,Data Analyst,5,2017-09-23 15:13:30,2019-07-05 15:13:30,False,Promotion
