compensation_id,employee_id,effective_date,monthly_income,salary_band,percent_hike,bonus_amount,stock_option_level
1,1,2015-01-01,71206,Low,6.225143524,34592,3
2,1,2016-01-01,80086,High,12.47138997,16002,2
3,1,2016-12-31,90342,Low,12.80665318,24658,3
4,2,2015-01-01,44478,Low,12.14405188,44710,3
5,2,2016-01-01,47580,Medium,6.975640072,41189,2
6,2,2016-12-31,52667,Medium,10.69278927,32750,2
7,2,2017-12-31,59170,Medium,12.34802326,35400,0
8,3,2015-01-01,46279,Low,13.21649254,34580,1
9,3,2016-01-01,49062,Low,6.014264529,41217,0
10,3,2016-12-31,51644,Low,5.264675472,37108,0
11,3,2017-12-31,56309,High,9.033125109,14815,2
12,4,2015-01-01,69297,Medium,14.14627255,5885,3
13,4,2016-01-01,74512,Medium,7.526023412,49004,2
14,4,2016-12-31,84494,Medium,13.39741562,21682,0
15,4,2017-12-31,97067,High,14.88049429,6859,2
16,5,2015-01-01,38115,Low,7.652737941,13549,3
17,5,2016-01-01,41784,Low,9.628471623,19695,3
18,6,2015-01-01,23524,Low,10.82916558,17352,0
19,6,2016-01-01,27006,High,14.80349705,13704,0
20,7,2015-01-01,24631,Low,6.746040765,39189,3
21,7,2016-01-01,26701,Medium,8.40586143,19979,1
22,7,2016-12-31,29496,High,10.47014991,8973,0
23,7,2017-12-31,33895,Medium,14.91548443,41620,3
24,8,2015-01-01,35806,Low,7.368087368,37285,2
25,8,2016-01-01,37928,High,5.92875343,36938,1
26,8,2016-12-31,42657,High,12.46959771,5607,2
27,9,2015-01-01,23859,Medium,7.102955543,9826,0
28,9,2016-01-01,27322,High,14.51737704,48868,1
29,9,2016-12-31,28919,High,5.848510116,47479,3
30,9,2017-12-31,31381,Medium,8.516816483,23426,1
31,10,2015-01-01,38470,Low,6.314953271,5170,0
32,10,2016-01-01,41830,Low,8.735119305,9454,2
33,10,2016-12-31,44206,Low,5.680869079,25852,2
34,10,2017-12-31,49714,Medium,12.46159881,33233,0
35,11,2015-01-01,83051,High,8.755559557,20005,2
36,11,2016-01-01,90480,High,8.945612438,5338,2
37,11,2016-12-31,102119,Medium,12.86470986,9187,2
38,12,2015-01-01,28531,Low,10.96692722,36391,1
39,12,2016-01-01,30376,Medium,6.468435835,28707,2
40,12,2016-12-31,32274,High,6.249251812,36008,3
41,13,2015-01-01,71896,Medium,6.720343601,9970,2
42,13,2016-01-01,81028,Low,12.70172125,28606,0
43,13,2016-12-31,91907,Low,13.42739869,6713,2
44,14,2015-01-01,43035,Medium,14.50547094,20328,2
45,14,2016-01-01,46999,Medium,9.213093174,19056,3
46,15,2015-01-01,58028,Low,12.21414468,8360,2
47,15,2016-01-01,64890,High,11.82578389,34285,2
48,15,2016-12-31,72655,High,11.96684867,46277,3
49,15,2017-12-31,83423,Low,14.82151199,24722,2
50,16,2015-01-01,55029,Low,11.75532635,7574,1
51,16,2016-01-01,60157,Low,9.318733188,26687,3
52,17,2015-01-01,25972,Low,9.833278108,43566,0
53,17,2016-01-01,28397,High,9.339220744,20129,0
54,17,2016-12-31,30149,High,6.170010745,31373,2
55,18,2015-01-01,61103,High,10.79157628,17918,1
56,18,2016-01-01,65354,High,6.958427891,21973,0
57,18,2016-12-31,71509,Low,9.418058845,13531,1
58,18,2017-12-31,81981,Medium,14.64550789,6636,0
59,19,2015-01-01,61105,Low,8.949537703,34992,1
60,19,2016-01-01,64270,High,5.179667439,7359,1
61,19,2016-12-31,70263,Medium,9.324803902,36199,3
62,20,2015-01-01,86192,Medium,10.32892801,8529,3
63,20,2016-01-01,97411,High,13.0166842,43744,0
64,21,2015-01-01,26602,Medium,6.609168973,36212,3
65,21,2016-01-01,29952,Low,12.59547408,36827,0
66,22,2015-01-01,78738,Medium,13.68706076,48749,0
67,22,2016-01-01,87722,Low,11.41021636,31266,2
68,22,2016-12-31,92981,Low,5.995799885,36953,1
69,23,2015-01-01,38127,Low,14.06626566,49882,0
70,23,2016-01-01,41097,Low,7.79211661,39343,1
71,23,2016-12-31,46601,Low,13.39429987,15522,2
72,23,2017-12-31,51318,Medium,10.12319191,33016,3
73,24,2015-01-01,27777,Medium,13.30023266,21530,0
74,24,2016-01-01,31156,Medium,12.16728027,25079,0
75,24,2016-12-31,33521,Low,7.591369784,20776,2
76,24,2017-12-31,37014,High,10.42254381,35797,0
77,25,2015-01-01,79925,Low,9.829812361,20104,2
78,25,2016-01-01,88303,Medium,10.48249651,5685,2
79,26,2015-01-01,68287,Medium,7.1529834,34781,2
80,26,2016-01-01,73126,Low,7.086380836,47599,0
81,26,2016-12-31,77494,Medium,5.974072198,49126,1
82,27,2015-01-01,55233,Low,5.652161177,33342,0
83,27,2016-01-01,59443,Low,7.622782417,23222,1
84,27,2016-12-31,63392,High,6.643521524,10400,1
85,27,2017-12-31,72069,Medium,13.68913197,20448,2
86,28,2015-01-01,40018,High,12.89812516,36320,1
87,28,2016-01-01,42587,High,6.421858324,35800,3
88,28,2016-12-31,48313,Medium,13.44629633,24681,3
89,29,2015-01-01,70022,Medium,6.596841696,34699,2
90,29,2016-01-01,75426,High,7.718487019,9924,1
91,29,2016-12-31,82463,Medium,9.330856423,12724,1
92,30,2015-01-01,52860,High,10.88941189,40077,1
93,30,2016-01-01,57621,High,9.007972852,38826,0
94,30,2016-12-31,62795,Low,8.981050307,9045,2
95,30,2017-12-31,72150,Medium,14.89870683,47926,2
96,31,2015-01-01,62737,Medium,13.39075335,38701,2
97,31,2016-01-01,67715,High,7.935367854,35768,3
98,31,2016-12-31,76608,Low,13.13377032,37605,0
99,31,2017-12-31,83928,Medium,9.555509224,10937,0
100,32,2015-01-01,33659,High,14.3290024,39345,2
101,32,2016-01-01,38473,Low,14.30282844,34306,3
102,33,2015-01-01,58136,Low,5.347496358,25262,3
103,33,2016-01-01,61663,High,6.067631987,43628,1
104,33,2016-12-31,70331,High,14.0585931,39174,1
105,33,2017-12-31,80424,Medium,14.35127051,31611,3
106,34,2015-01-01,87784,Medium,12.26444652,36864,2
107,34,2016-01-01,94180,Medium,7.286733041,33651,3
108,34,2016-12-31,99427,Low,5.571684028,45739,1
109,34,2017-12-31,108718,Medium,9.344736141,20665,0
110,35,2015-01-01,31582,Medium,14.56334473,12708,0
111,35,2016-01-01,33889,High,7.30794291,23083,1
