attrition_id,employee_id,attrition_flag,attrition_date,attrition_reason,exit_interview_score,rehire_eligible
1,1502,TRUE,6/2/2013 22:43,Work-Life Balance,4,FALSE
2,2587,TRUE,3/11/2019 0:25,Work-Life Balance,3,FALSE
3,2654,TRUE,8/5/2016 11:18,Work-Life Balance,4,TRUE
4,1056,TRUE,5/5/2023 2:52,Work-Life Balance,2,FALSE
5,706,TRUE,3/25/2024 5:21,Work-Life Balance,5,FALSE
6,107,TRUE,2/17/2014 12:28,Salary,4,FALSE
7,590,TRUE,7/11/2027 0:09,Manager Issues,3,TRUE
8,2469,TRUE,6/29/2021 15:28,Work-Life Balance,1,TRUE
9,2414,TRUE,8/15/2015 22:27,Work-Life Balance,3,TRUE
10,1601,TRUE,4/3/2016 2:14,Work-Life Balance,1,FALSE
11,2465,TRUE,5/26/2020 3:34,Career Growth,4,FALSE
12,229,TRUE,9/13/2022 8:05,Manager Issues,5,FALSE
13,916,TRUE,6/2/2017 4:55,Work-Life Balance,3,TRUE
14,795,TRUE,7/9/2015 14:15,Salary,5,TRUE
15,3022,TRUE,6/18/2026 23:30,Manager Issues,4,FALSE
16,3544,TRUE,10/15/2019 19:27,Manager Issues,5,TRUE
17,1074,TRUE,6/17/2015 18:56,Manager Issues,5,FALSE
18,3352,TRUE,1/29/2025 8:34,Career Growth,3,TRUE
19,1745,TRUE,11/29/2016 0:40,Manager Issues,4,FALSE
20,1085,TRUE,8/11/2022 20:31,Work-Life Balance,5,TRUE
21,927,TRUE,3/10/2025 3:57,Work-Life Balance,1,FALSE
22,3050,TRUE,7/18/2011 20:19,Career Growth,2,TRUE
23,1118,TRUE,10/24/2013 2:01,Salary,1,FALSE
24,643,TRUE,4/11/2015 3:31,Career Growth,5,TRUE
25,4768,TRUE,5/6/2024 5:02,Career Growth,4,FALSE
26,502,TRUE,4/20/2017 13:39,Work-Life Balance,1,FALSE
27,4067,TRUE,11/26/2025 17:41,Manager Issues,4,FALSE
28,334,TRUE,4/30/2017 14:31,Career Growth,1,TRUE
29,4685,TRUE,11/19/2022 13:57,Salary,4,TRUE
30,487,TRUE,11/21/2018 21:52,Work-Life Balance,5,TRUE
31,1963,TRUE,6/12/2014 2:57,Manager Issues,3,FALSE
32,394,TRUE,6/21/2017 19:28,Salary,1,FALSE
33,4843,TRUE,2/9/2020 23:36,Career Growth,4,TRUE
34,4867,TRUE,9/29/2021 6:36,Salary,1,FALSE
35,1756,TRUE,6/7/2022 5:52,Career Growth,4,TRUE
36,2516,TRUE,8/1/2026 23:51,Career Growth,4,FALSE
37,3586,TRUE,10/18/2021 1:40,Career Growth,3,FALSE
38,4316,TRUE,3/30/2022 3:18,Career Growth,4,TRUE
39,4967,TRUE,6/11/2016 17:49,Career Growth,1,FALSE
40,2100,TRUE,1/3/2016 4:30,Work-Life Balance,5,FALSE
41,3600,TRUE,2/13/2013 4:33,Career Growth,2,FALSE
42,4122,TRUE,2/11/2018 7:17,Manager Issues,4,FALSE
43,30,TRUE,12/25/2013 14:19,Career Growth,2,FALSE
44,66,TRUE,8/13/2021 0:33,Work-Life Balance,5,FALSE
45,839,TRUE,9/21/2021 21:49,Salary,2,FALSE
46,3907,TRUE,10/20/2011 18:06,Manager Issues,4,TRUE
47,3774,TRUE,9/19/2016 6:46,Salary,1,TRUE
48,4636,TRUE,12/28/2021 19:32,Salary,3,FALSE
49,3162,TRUE,3/28/2018 18:52,Manager Issues,4,FALSE
50,2660,TRUE,8/2/2020 20:13,Work-Life Balance,4,FALSE
51,4616,TRUE,10/30/2015 20:42,Career Growth,3,FALSE
52,4629,TRUE,6/1/2016 2:58,Career Growth,3,TRUE
53,2452,TRUE,12/6/2022 7:33,Career Growth,3,FALSE
54,2847,TRUE,2/7/2015 18:55,Salary,3,TRUE
55,1145,TRUE,4/17/2023 6:02,Manager Issues,3,TRUE
56,3079,TRUE,10/30/2023 1:14,Career Growth,4,FALSE
57,1104,TRUE,8/10/2013 5:58,Career Growth,2,TRUE
58,169,TRUE,9/28/2019 3:37,Work-Life Balance,1,FALSE
59,1671,TRUE,12/1/2022 3:48,Work-Life Balance,4,TRUE
60,2571,TRUE,3/7/2020 8:11,Salary,5,TRUE
61,2378,TRUE,8/8/2012 22:54,Manager Issues,4,FALSE
62,4396,TRUE,11/1/2020 19:51,Work-Life Balance,4,TRUE
63,4258,TRUE,8/16/2018 1:38,Manager Issues,2,TRUE
64,3863,TRUE,7/11/2021 4:40,Work-Life Balance,3,FALSE
65,24,TRUE,3/9/2014 17:01,Manager Issues,5,TRUE
66,2634,TRUE,3/1/2019 2:35,Manager Issues,2,TRUE
67,3341,TRUE,11/30/2023 6:38,Manager Issues,1,FALSE
68,2216,TRUE,1/18/2022 8:34,Salary,5,TRUE
69,3683,TRUE,4/5/2015 13:30,Work-Life Balance,5,FALSE
70,4725,TRUE,11/20/2013 2:35,Work-Life Balance,2,FALSE
71,1908,TRUE,1/14/2024 3:35,Career Growth,5,FALSE
72,85,TRUE,11/15/2015 1:09,Career Growth,4,TRUE
73,228,TRUE,12/27/2026 1:14,Salary,4,FALSE
74,297,TRUE,4/24/2019 15:05,Work-Life Balance,3,TRUE
75,1002,TRUE,3/21/2015 6:51,Career Growth,2,TRUE
76,2139,TRUE,6/20/2016 6:28,Work-Life Balance,4,TRUE
77,712,TRUE,12/2/2019 11:11,Career Growth,5,FALSE
78,2802,TRUE,8/11/2017 13:26,Salary,5,FALSE
79,2528,TRUE,9/13/2016 14:15,Career Growth,4,TRUE
80,3753,TRUE,7/27/2018 2:02,Salary,2,FALSE
81,3322,TRUE,3/26/2017 6:35,Salary,2,FALSE
82,3182,TRUE,3/9/2017 14:33,Manager Issues,1,TRUE
83,4184,TRUE,2/3/2022 17:13,Salary,2,FALSE
84,1616,TRUE,11/24/2022 17:41,Manager Issues,4,FALSE
85,3025,TRUE,3/25/2020 11:27,Work-Life Balance,1,TRUE
86,1414,TRUE,4/15/2024 0:13,Salary,5,TRUE
87,764,TRUE,4/1/2022 12:34,Salary,4,TRUE
88,656,TRUE,2/9/2016 9:30,Salary,3,FALSE
89,4798,TRUE,4/26/2017 10:42,Career Growth,3,FALSE
90,3850,TRUE,8/24/2019 12:00,Salary,2,TRUE
91,4154,TRUE,5/14/2018 23:51,Work-Life Balance,1,FALSE
92,469,TRUE,12/14/2019 6:05,Manager Issues,1,FALSE
93,158,TRUE,9/6/2023 18:00,Work-Life Balance,5,FALSE
94,1296,TRUE,6/23/2025 10:15,Manager Issues,2,FALSE
95,498,TRUE,1/4/2024 7:50,Work-Life Balance,1,FALSE
96,4741,TRUE,8/15/2023 23:40,Career Growth,4,FALSE
97,2941,TRUE,4/25/2023 13:29,Work-Life Balance,5,TRUE
98,3457,TRUE,12/13/2024 19:34,Work-Life Balance,1,TRUE
99,374,TRUE,9/25/2016 12:10,Salary,3,TRUE
100,80,TRUE,10/10/2017 23:30,Career Growth,3,FALSE
101,1554,TRUE,12/20/2018 21:34,Career Growth,1,FALSE
102,1670,TRUE,3/13/2024 5:45,Salary,3,TRUE
103,2132,TRUE,5/11/2017 2:35,Manager Issues,4,FALSE
104,4440,TRUE,10/12/2021 23:07,Work-Life Balance,5,FALSE
105,466,TRUE,4/1/2019 19:16,Salary,4,FALSE
106,249,TRUE,7/25/2016 18:52,Career Growth,3,FALSE
107,932,TRUE,8/1/2023 20:51,Work-Life Balance,1,TRUE
108,1336,TRUE,2/18/2017 14:13,Work-Life Balance,1,FALSE
109,4525,TRUE,11/4/2021 11:25,Manager Issues,5,FALSE
110,1339,TRUE,3/31/2014 19:36,Manager Issues,3,FALSE
111,1407,TRUE,12/2/2013 10:46,Work-Life Balance,3,FALSE
112,1091,TRUE,2/6/2015 6:40,Work-Life Balance,3,FALSE
113,4210,TRUE,2/18/2019 21:01,Work-Life Balance,2,TRUE
114,743,TRUE,10/9/2024 15:42,Manager Issues,1,FALSE
115,2324,TRUE,1/3/2018 12:41,Manager Issues,3,TRUE
116,3602,TRUE,10/22/2020 7:02,Salary,5,TRUE
117,2124,TRUE,9/23/2015 10:12,Manager Issues,2,FALSE
118,2095,TRUE,3/5/2013 3:20,Career Growth,3,FALSE
119,241,TRUE,1/3/2024 16:06,Career Growth,1,FALSE
120,2352,TRUE,10/17/2019 7:48,Work-Life Balance,2,TRUE
121,1371,TRUE,4/27/2019 15:51,Work-Life Balance,4,FALSE
122,1058,TRUE,3/3/2018 20:57,Manager Issues,5,TRUE
123,4817,TRUE,2/11/2022 15:20,Career Growth,1,TRUE
124,200,TRUE,7/3/2014 15:48,Salary,4,FALSE
125,2281,TRUE,10/31/2021 8:08,Manager Issues,1,FALSE
126,4750,TRUE,2/24/2019 9:39,Manager Issues,5,FALSE
127,2221,TRUE,2/21/2019 20:01,Career Growth,3,FALSE
128,4772,TRUE,8/13/2018 8:21,Work-Life Balance,4,TRUE
129,2820,TRUE,3/22/2025 14:00,Work-Life Balance,4,TRUE
130,3151,TRUE,1/5/2021 12:08,Career Growth,2,TRUE
131,4257,TRUE,6/10/2024 15:59,Career Growth,3,TRUE
132,3108,TRUE,8/27/2017 9:47,Salary,5,TRUE
133,1974,TRUE,4/9/2022 18:31,Career Growth,2,FALSE
134,1376,TRUE,1/27/2022 8:10,Work-Life Balance,4,TRUE
135,3969,TRUE,7/21/2016 4:10,Career Growth,1,FALSE
136,4063,TRUE,7/23/2016 11:26,Career Growth,5,TRUE
137,4446,TRUE,1/11/2025 10:35,Salary,2,TRUE
138,3558,TRUE,3/28/2024 17:03,Manager Issues,3,TRUE
139,965,TRUE,4/18/2022 23:01,Salary,1,FALSE
140,180,TRUE,5/4/2024 23:04,Career Growth,2,TRUE
141,3699,TRUE,4/3/2019 21:41,Manager Issues,5,TRUE
142,3822,TRUE,3/27/2017 7:01,Career Growth,1,TRUE
143,4879,TRUE,8/13/2026 5:41,Manager Issues,2,TRUE
144,3900,TRUE,3/22/2016 17:13,Career Growth,2,TRUE
145,4488,TRUE,1/18/2013 0:25,Work-Life Balance,5,TRUE
146,3239,TRUE,8/18/2018 7:31,Manager Issues,3,TRUE
147,2975,TRUE,10/4/2012 16:59,Manager Issues,1,TRUE
148,3581,TRUE,3/22/2014 16:33,Salary,2,TRUE
149,2888,TRUE,6/23/2016 3:05,Work-Life Balance,5,TRUE
150,2576,TRUE,6/20/2017 12:59,Work-Life Balance,2,FALSE
151,1420,TRUE,8/14/2013 15:50,Work-Life Balance,5,TRUE
