skill_id,employee_id,skill_name,skill_category,proficiency_level,training_completed,certification_flag
1,1,SQL,Technical,4,FALSE,FALSE
2,1,Python,Technical,4,TRUE,FALSE
3,1,Excel,Technical,1,FALSE,FALSE
4,2,Python,Technical,5,FALSE,TRUE
5,2,Excel,Technical,2,TRUE,TRUE
6,3,Leadership,Soft,3,FALSE,TRUE
7,3,SQL,Technical,4,FALSE,TRUE
8,3,Python,Technical,2,TRUE,FALSE
9,4,SQL,Technical,4,TRUE,TRUE
10,4,Leadership,Soft,2,FALSE,TRUE
11,5,Power BI,Technical,5,TRUE,FALSE
12,5,Excel,Technical,5,FALSE,FALSE
13,5,Leadership,Soft,3,FALSE,TRUE
14,6,Python,Technical,1,FALSE,FALSE
15,6,Power BI,Technical,5,FALSE,FALSE
16,6,Excel,Technical,2,FALSE,FALSE
17,7,Python,Technical,4,TRUE,TRUE
18,7,Excel,Technical,1,TRUE,FALSE
19,8,Excel,Technical,5,FALSE,FALSE
20,8,SQL,Technical,3,FALSE,FALSE
21,8,Power BI,Technical,3,TRUE,FALSE
22,8,Python,Technical,4,TRUE,FALSE
23,9,Communication,Soft,5,FALSE,FALSE
24,9,Python,Technical,2,TRUE,TRUE
25,10,Excel,Technical,3,FALSE,TRUE
26,10,SQL,Technical,4,FALSE,TRUE
27,10,Python,Technical,4,TRUE,TRUE
28,10,Power BI,Technical,2,FALSE,FALSE
29,11,Power BI,Technical,2,FALSE,FALSE
30,11,Python,Technical,4,FALSE,TRUE
31,11,Excel,Technical,3,TRUE,TRUE
32,12,Communication,Soft,2,TRUE,FALSE
33,12,Python,Technical,3,FALSE,FALSE
34,13,Leadership,Soft,5,FALSE,FALSE
35,13,Communication,Soft,2,FALSE,TRUE
36,13,Power BI,Technical,1,FALSE,TRUE
37,14,Python,Technical,3,TRUE,TRUE
38,14,Power BI,Technical,2,TRUE,FALSE
39,15,Power BI,Technical,4,FALSE,FALSE
40,15,SQL,Technical,3,TRUE,TRUE
41,15,Excel,Technical,2,TRUE,TRUE
42,15,Python,Technical,1,FALSE,TRUE
43,16,Power BI,Technical,4,TRUE,TRUE
44,16,Communication,Soft,3,TRUE,TRUE
45,16,Python,Technical,2,TRUE,TRUE
46,17,Communication,Soft,2,TRUE,FALSE
47,17,SQL,Technical,3,TRUE,TRUE
48,17,Leadership,Soft,1,FALSE,TRUE
49,17,Excel,Technical,1,TRUE,FALSE
50,18,Excel,Technical,3,TRUE,FALSE
51,18,Power BI,Technical,3,TRUE,FALSE
52,18,Leadership,Soft,1,TRUE,FALSE
53,18,Python,Technical,4,FALSE,FALSE
54,19,SQL,Technical,3,FALSE,FALSE
55,19,Power BI,Technical,5,FALSE,FALSE
56,19,Python,Technical,2,FALSE,FALSE
57,20,SQL,Technical,2,FALSE,TRUE
58,20,Leadership,Soft,1,TRUE,TRUE
59,20,Excel,Technical,2,FALSE,FALSE
60,20,Communication,Soft,1,TRUE,TRUE
61,21,Leadership,Soft,1,FALSE,FALSE
62,21,Excel,Technical,5,FALSE,TRUE
63,21,Power BI,Technical,1,TRUE,FALSE
64,22,Excel,Technical,1,FALSE,FALSE
65,22,Power BI,Technical,3,TRUE,FALSE
66,22,Leadership,Soft,1,TRUE,TRUE
67,23,Python,Technical,4,FALSE,FALSE
68,23,Power BI,Technical,4,TRUE,TRUE
69,24,Leadership,Soft,1,TRUE,FALSE
70,24,Python,Technical,1,FALSE,TRUE
71,24,SQL,Technical,4,TRUE,FALSE
72,25,Leadership,Soft,2,TRUE,FALSE
73,25,SQL,Technical,4,TRUE,FALSE
74,25,Power BI,Technical,1,FALSE,FALSE
75,25,Communication,Soft,1,TRUE,FALSE
76,26,Leadership,Soft,2,FALSE,TRUE
77,26,Excel,Technical,2,FALSE,TRUE
78,26,Python,Technical,5,TRUE,TRUE
79,27,SQL,Technical,5,TRUE,TRUE
80,27,Python,Technical,3,FALSE,FALSE
81,27,Excel,Technical,1,TRUE,TRUE
82,27,Power BI,Technical,5,FALSE,TRUE
83,28,Communication,Soft,5,FALSE,TRUE
84,28,Excel,Technical,5,FALSE,FALSE
85,28,SQL,Technical,5,TRUE,FALSE
86,29,Communication,Soft,4,FALSE,TRUE
87,29,Power BI,Technical,4,FALSE,FALSE
88,29,SQL,Technical,1,FALSE,TRUE
89,30,Python,Technical,3,FALSE,FALSE
90,30,Power BI,Technical,4,FALSE,FALSE
91,30,SQL,Technical,5,FALSE,FALSE
92,31,Leadership,Soft,1,TRUE,FALSE
93,31,Communication,Soft,1,FALSE,TRUE
94,31,Power BI,Technical,3,TRUE,TRUE
95,32,SQL,Technical,4,TRUE,TRUE
96,32,Power BI,Technical,3,FALSE,FALSE
97,32,Leadership,Soft,3,TRUE,FALSE
98,32,Excel,Technical,2,TRUE,TRUE
99,33,Excel,Technical,4,FALSE,TRUE
100,33,SQL,Technical,5,FALSE,TRUE
101,34,Power BI,Technical,3,FALSE,TRUE
102,34,SQL,Technical,3,TRUE,FALSE
103,34,Excel,Technical,2,FALSE,FALSE
104,35,Excel,Technical,5,FALSE,FALSE
105,35,Python,Technical,3,TRUE,FALSE
106,35,SQL,Technical,3,FALSE,FALSE
107,35,Communication,Soft,4,TRUE,FALSE
108,36,Leadership,Soft,5,FALSE,FALSE
109,36,SQL,Technical,2,TRUE,FALSE
110,36,Power BI,Technical,5,TRUE,FALSE
111,36,Excel,Technical,4,TRUE,FALSE
112,37,Python,Technical,3,FALSE,TRUE
113,37,Leadership,Soft,1,FALSE,FALSE
114,37,Power BI,Technical,5,TRUE,FALSE
115,37,SQL,Technical,4,FALSE,FALSE
116,38,Communication,Soft,4,TRUE,FALSE
117,38,Excel,Technical,3,FALSE,FALSE
118,38,Power BI,Technical,5,FALSE,FALSE
119,39,Power BI,Technical,3,TRUE,TRUE
120,39,Excel,Technical,4,TRUE,TRUE
121,39,Python,Technical,2,FALSE,FALSE
122,39,Communication,Soft,1,FALSE,FALSE
123,40,Python,Technical,3,TRUE,TRUE
124,40,SQL,Technical,5,FALSE,FALSE
125,40,Power BI,Technical,1,FALSE,FALSE
126,41,Excel,Technical,3,TRUE,FALSE
127,41,SQL,Technical,4,TRUE,TRUE
128,41,Communication,Soft,1,TRUE,FALSE
129,41,Power BI,Technical,2,TRUE,FALSE
130,42,Excel,Technical,4,TRUE,FALSE
131,42,Power BI,Technical,2,FALSE,TRUE
132,42,Leadership,Soft,1,FALSE,TRUE
133,42,SQL,Technical,4,TRUE,TRUE
134,43,Communication,Soft,2,FALSE,TRUE
135,43,Excel,Technical,2,TRUE,FALSE
136,43,Python,Technical,2,TRUE,FALSE
137,44,SQL,Technical,5,FALSE,FALSE
138,44,Leadership,Soft,5,TRUE,FALSE
